Image,ID,Length,Name,Description,,
,CID_058_Athena_Commando_M_SkiDude_GER,37,Alpine Ace (GER),So Aerodynamic!,,
,CID_059_Athena_Commando_M_SkiDude_CHN,37,Alpine Ace (CHN),So Aerodynamic!,,
,CID_060_Athena_Commando_M_SkiDude_KOR,37,Alpine Ace (KOR),So Aerodynamic!,,
,CID_061_Athena_Commando_F_SkiGirl,33,Mogul Master,Carve through the competition.,,
,CID_062_Athena_Commando_F_SkiGirl_USA,37,Mogul Master (USA),Carve through the competition.,,
,CID_063_Athena_Commando_F_SkiGirl_CAN,37,Mogul Master (CAN),Carve through the competition.,,
,CID_064_Athena_Commando_F_SkiGirl_GBR,37,Mogul Master (GBR),Carve through the competition.,,
,CID_065_Athena_Commando_F_SkiGirl_FRA,37,Mogul Master (FRA),Carve through the competition.,,
,CID_066_Athena_Commando_F_SkiGirl_GER,37,Mogul Master (GER),Carve through the competition.,,
,CID_067_Athena_Commando_F_SkiGirl_CHN,37,Mogul Master (CHN),Carve through the competition.,,
,CID_068_Athena_Commando_F_SkiGirl_KOR,37,Mogul Master (KOR),Carve through the competition.,,
,CID_069_Athena_Commando_F_PinkBear,34,Cuddle Team Leader,Hug it out.,,
,CID_070_Athena_Commando_M_Cupid,31,Love Ranger,Aim for the heart.,,
,CID_071_Athena_Commando_M_Wukong,32,Wukong,Long live the king!,,
,CID_072_Athena_Commando_M_Scout,31,Sash Sergeant,Set up camp and start a firefight.,,
,CID_073_Athena_Commando_F_Scuba,31,Snorkel Ops,Diving head first into the fight.,,
,CID_074_Athena_Commando_F_Stripe,32,Jungle Scout,Blaze a trail to victory.,,
,CID_075_Athena_Commando_F_Stripe,32,Tactics Officer,Ready for action.,,
,CID_076_Athena_Commando_F_Sup,29,Dazzle,The dominator of Dusty Depot.,,
,CID_077_Athena_Commando_M_Sup,29,Hyperion,The gladiator of Greasy Grove.,,
,CID_078_Athena_Commando_M_Camo,30,Highrise Assault Trooper,Rise to the top.,,
,CID_079_Athena_Commando_F_Camo,30,Tower Recon Specialist,Master of the mean streets.,,
,CID_080_Athena_Commando_M_Space,31,Mission Specialist,All systems go.,,
,CID_081_Athena_Commando_F_Space,31,Moonwalker,Boldly going for victory.,,
,CID_082_Athena_Commando_M_Scavenger,35,Rust Lord,King of the scrap heap.,,
,CID_083_Athena_Commando_F_Tactical,34,Elite Agent,Failure is not an option.,,
,CID_084_Athena_Commando_M_Assassin,34,The Reaper,Vengeance for hire.,,
,CID_085_Athena_Commando_M_Twitch,32,Sub Commander,Show 'em how it's done.,,
,CID_086_Athena_Commando_M_RedSilk,33,Crimson Scout,A dashing and deadly scout.,,
,CID_087_Athena_Commando_F_RedSilk,33,Scarlet Defender,Poised for victory.,,
,CID_088_Athena_Commando_M_SpaceBlack,36,Dark Voyager,From the vast darkness of deep space.,,
,CID_089_Athena_Commando_M_RetroGrey,35,Havoc,Striking fear into the opposition.,,
,CID_090_Athena_Commando_M_Tactical,34,Rogue Agent,Agent status: Unknown,,
,CID_091_Athena_Commando_M_RedShirt,34,Radiant Striker,Strike first.,,
,CID_092_Athena_Commando_F_RedShirt,34,Brilliant Striker,Strike true.,,
,CID_093_Athena_Commando_M_Dinosaur,34,Rex,Hunting the competition to extinction.,,
,CID_094_Athena_Commando_M_Rider,31,Burnout,All roads lead to victory.,,
,CID_095_Athena_Commando_M_Founder,33,Warpaint,Dress for the job you want.,,
,CID_096_Athena_Commando_F_Founder,33,Rose Team Leader,Stop and smell the victory.,,
,CID_097_Athena_Commando_F_RockerPunk,36,Power Chord,Bring on the noise complaints.,,
,CID_098_Athena_Commando_F_StPatty,33,Sgt. Green Clover,Good luck out there!,,
,CID_099_Athena_Commando_F_Scathach,34,Highland Warrior,The shadow of Ulster.,,
,CID_100_Athena_Commando_M_CuChulainn,36,Battle Hound,Release the hound!,,
,CID_101_Athena_Commando_M_Stealth,33,Midnight Ops,Strike by night.,,
,CID_102_Athena_Commando_M_Raven,31,Raven,Brooding master of dark skies.,,
,CID_103_Athena_Commando_M_Bunny,31,Rabbit Raider,Scary cute.,,
,CID_104_Athena_Commando_F_Bunny,31,Bunny Brawler,Hop into action.,,
,CID_105_Athena_Commando_F_SpaceBlack,36,Dark Vanguard,Exploring the outer limits.,,
,CID_106_Athena_Commando_F_Taxi,30,Whiplash,Brake for no one.,,
,CID_107_Athena_Commando_F_PajamaParty,37,Tricera Ops,Sink your teeth into victory.,,
,CID_108_Athena_Commando_M_Fishhead,34,Leviathan,Call me fishman.,,
,CID_109_Athena_Commando_M_Pizza,31,Tomatohead,Extra saucy.,,
,CID_110_Athena_Commando_F_CircuitBreaker,40,Cipher,Decoding the opposition's weakness.,,
,CID_111_Athena_Commando_F_Robo,30,Steelsight,Victory demands nerves of steel.,,
,CID_112_Athena_Commando_M_Brite,31,Brite Gunner,Look on the bright side.,,
,CID_113_Athena_Commando_M_BlueAce,33,Royale Bomber,Searching for a target-rich environment.,,
,CID_114_Athena_Commando_F_TacticalWoodland,42,Trailblazer,On the forefront of victory.,,
,CID_115_Athena_Commando_M_CarbideBlue,37,Carbide,Heed the call to action.,,
,CID_116_Athena_Commando_M_CarbideBlack,38,Omega,There can be only one.,,
,CID_117_Athena_Commando_M_TacticalJungle,40,Squad Leader,"First in, last out.",,
,CID_118_Athena_Commando_F_Valor,31,Valor,A beacon for hope.,,
,CID_119_Athena_Commando_F_Candy,31,Zoey,Candy-coated chaos.,,
,CID_120_Athena_Commando_F_Graffiti,34,Teknique,Spray up a storm.,,
,CID_121_Athena_Commando_M_Graffiti,34,Abstrakt,The writing's on the wall.,,
,CID_122_Athena_Commando_M_Metal,31,Diecast,The die has been cast.,,
,CID_123_Athena_Commando_F_Metal,31,Chromium,Solid to the core.,,
,CID_124_Athena_Commando_F_AuroraGlow,36,Nitelite,Never afraid of the dark.,,
,CID_125_Athena_Commando_M_TacticalWoodland,42,Battlehawk,Swoop in and claim victory.,,
,CID_126_Athena_Commando_M_AuroraGlow,36,Liteshow,Light it up!,,
,CID_127_Athena_Commando_M_Hazmat,32,Toxic Trooper,Dominate the hot zone.,,
,CID_128_Athena_Commando_F_Hazmat,32,Hazard Agent,Warning: Hazardous!,,
,CID_129_Athena_Commando_M_Deco,30,Venturion,Adventure awaits!,,
,CID_130_Athena_Commando_M_Merman,32,Moisty Merman,From the moisty depths of... the backlot of Studio B. ,,
,CID_131_Athena_Commando_M_Warpaint,34,Bandolier,No shirt. No surrender.,,
,CID_132_Athena_Commando_M_Venus,31,Flytrap,Deviously inescapable.,,
,CID_133_Athena_Commando_F_Deco,30,Ventura,Destined for greatness.,,
,CID_134_Athena_Commando_M_Jailbird,34,Scoundrel,Moisty's most wanted.,,
,CID_135_Athena_Commando_F_Jailbird,34,Rapscallion,Bail out of the Battle Bus.,,
,CID_136_Athena_Commando_M_StreetBasketball,42,Jumpshot,Vertical victory.,,
,CID_137_Athena_Commando_F_StreetBasketball,42,Triple Threat,It's all about the fundamentals.,,
,CID_138_Athena_Commando_M_PSBurnout,35,Blue Striker,Make victory your reality.,,
,CID_139_Athena_Commando_M_FighterPilot,38,Wingman,Flying under the radar.,,
,CID_140_Athena_Commando_M_Visitor,33,The Visitor,Intentions unknown.,,
,CID_141_Athena_Commando_M_DarkEagle,35,Omen,Your victory has been foretold.,,
,CID_142_Athena_Commando_M_WWIIPilot,35,Sky Stalker,Barrel roll through the competition.,,
,CID_143_Athena_Commando_F_DarkNinja,35,Fate,Prepare to meet your fate.,,
,CID_144_Athena_Commando_M_SoccerDudeA,37,Super Striker,Represent your country in style!,,
,CID_145_Athena_Commando_M_SoccerDudeB,37,Midfield Maestro,Represent your country in style!,,
,CID_146_Athena_Commando_M_SoccerDudeC,37,Aerial Threat,Represent your country in style!,,
,CID_147_Athena_Commando_M_SoccerDudeD,37,Stalwart Sweeper,Represent your country in style!,,
,CID_148_Athena_Commando_F_SoccerGirlA,37,Dynamic Dribbler,Represent your country in style!,,
,CID_149_Athena_Commando_F_SoccerGirlB,37,Poised Playmaker,Represent your country in style!,,
,CID_150_Athena_Commando_F_SoccerGirlC,37,Finesse Finisher,Represent your country in style!,,
,CID_151_Athena_Commando_F_SoccerGirlD,37,Clinical Crosser,Represent your country in style!,,
,CID_152_Athena_Commando_F_CarbideOrange,39,Criterion,Unwavering dedication.,,
,CID_153_Athena_Commando_F_CarbideBlack,38,Oblivion,Unending vengeance.,,
,CID_154_Athena_Commando_M_Gumshoe,33,Sleuth,This detective is on the case.,,
,CID_155_Athena_Commando_F_Gumshoe,33,Gumshoe,The kid's got gumption.,,
,CID_156_Athena_Commando_F_FuzzyBearInd,38,Fireworks Team Leader,"Life, liberty, and the bear suit of happiness.",,
,CID_157_Athena_Commando_M_StarsAndStripes,41,Star-Spangled Trooper,Salute your stripes.,,
,CID_158_Athena_Commando_F_StarsAndStripes,41,Star-Spangled Ranger,Make 'em see stars.,,
,CID_159_Athena_Commando_M_GumshoeDark,37,Noir,Infiltrating the seedy underbelly of Tilted Towers.,,
,CID_160_Athena_Commando_M_SpeedyRed,35,Vertex,From beyond the point of no return.,,
,CID_161_Athena_Commando_M_Drift,31,Drift,"Journey into the unknown, and find your way to victory.",,
,CID_162_Athena_Commando_F_StreetRacer,37,Redline,Revving beyond the limit.,,
,CID_163_Athena_Commando_F_Viking,32,Huntress,The fearless raider from storm-tossed seas.,,
,CID_164_Athena_Commando_M_Viking,32,Magnus,Conquer The Storm.,,
,CID_165_Athena_Commando_M_DarkViking,36,Ragnarok,The cold harbinger of fate.,,
,CID_166_Athena_Commando_F_Lifeguard,35,Sun Strider,It's all fun in the sun.,,
,CID_167_Athena_Commando_M_TacticalBadass,40,Sledgehammer,Demolish the competition.,,
,CID_168_Athena_Commando_M_Shark,31,Chomp Sr.,Take a bite out of victory.,,
,CID_169_Athena_Commando_M_Luchador,34,Masked Fury,Who's behind the mask?,,
,CID_170_Athena_Commando_F_Luchador,34,Dynamo,Rule the ring.,,
,CID_171_Athena_Commando_M_SharpDresser,38,Moniker,Make a name for yourself.,,
,CID_172_Athena_Commando_F_SharpDresser,38,Fortune,Take charge of your fortune.,,
,CID_173_Athena_Commando_F_StarfishUniform,41,Rook,Promoted from desk jockey to field agent.,,
,CID_174_Athena_Commando_F_CarbideWhite,38,Eon,Timeless design.,,
,CID_175_Athena_Commando_M_Celestial,35,Galaxy,Victory is written in the stars.,,
,CID_176_Athena_Commando_M_Lifeguard,35,Sun Tan Specialist,Don't get burned.,,
,CID_177_Athena_Commando_M_StreetRacerCobra,42,Maverick,Just drive.,,
,CID_178_Athena_Commando_F_StreetRacerCobra,42,Shade,Stay cool.,,
,CID_179_Athena_Commando_F_Scuba,31,Reef Ranger,Dive into the fray.,,
,CID_180_Athena_Commando_M_Scuba,31,Wreck Raider,Wrecks to riches.,,
,CID_182_Athena_Commando_M_ModernMilitary,40,Archetype,Engineered for combat performance.,,
,CID_183_Athena_Commando_M_ModernMilitaryRed,43,Double Helix,Spiral toward victory.,,
,CID_184_Athena_Commando_M_DurrburgerWorker,42,Grill Sergeant,Make it sizzle.,,
,CID_185_Athena_Commando_M_DurrburgerHero,40,Beef Boss,Victory well done.,,
,CID_186_Athena_Commando_M_Exercise,34,Mullet Marauder,Totally. Totally radical.,,
,CID_187_Athena_Commando_F_FuzzyBearPanda,40,P.A.N.D.A Team Leader,Victory now. Nap later.,,
,CID_188_Athena_Commando_F_StreetRacerWhite,42,Whiteout,Break away from the pack.,,
,CID_189_Athena_Commando_F_Exercise,34,Aerobic Assassin,Flex your victory muscles.,,
,CID_190_Athena_Commando_M_StreetRacerWhite,42,Overtaker,Take over the competition.,,
,CID_191_Athena_Commando_M_SushiChef,35,Sushi Master,Roll out!,,
,CID_192_Athena_Commando_M_Hippie,32,Far Out Man,Out of sight.,,
,CID_193_Athena_Commando_F_Hippie,32,Dreamflower,Can you dig it?,,
,CID_194_Athena_Commando_F_RavenQuill,36,Ravage,"Circling overhead, shrouded by night...",,
,CID_195_Athena_Commando_F_Bling,31,The Ace,Stack the deck.,,
,CID_196_Athena_Commando_M_Biker,31,Backbone,King of the highway.,,
,CID_197_Athena_Commando_F_Biker,31,Chopper,No one crosses Chopper and rides away.,,
,CID_198_Athena_Commando_M_BlueSamurai,37,Musha,A fearless and noble warrior.,,
,CID_199_Athena_Commando_F_BlueSamurai,37,Hime,Catlike grace under pressure.,,
,CID_200_Athena_Commando_M_DarkPaintballer,41,Enforcer,Balance and order must be restored.,,
,CID_201_Athena_Commando_M_DesertOps,35,Armadillo,Thick skinned and battle hardened.,,
,CID_202_Athena_Commando_F_DesertOps,35,Scorpion,Beware the stinger.,,
,CID_203_Athena_Commando_M_CloakedStar,37,Cloaked Star,Cloaked in mystery.,,
,CID_204_Athena_Commando_M_GarageBand,36,Stage Slayer,Crank it up!,,
,CID_205_Athena_Commando_F_GarageBand,36,Synth Star,Ride a new wave to victory.,,
,CID_206_Athena_Commando_M_Bling,31,Wild Card,"Pick a card, any card.",,
,CID_207_Athena_Commando_M_FootballDudeA,39,End Zone,Deep in opposition territory.,,
,CID_208_Athena_Commando_M_FootballDudeB,39,Gridiron,Dominate the field.,,
,CID_209_Athena_Commando_M_FootballDudeC,39,Spike,Throw it on the ground.,,
,CID_210_Athena_Commando_F_FootballGirlA,39,Blitz,Catch 'em off guard.,,
,CID_211_Athena_Commando_F_FootballGirlB,39,Rush,Just keep running.,,
,CID_212_Athena_Commando_F_FootballGirlC,39,Interceptor,Take what's theirs.,,
,CID_214_Athena_Commando_F_FootballReferee,41,Whistle Warrior,Throw a flag on the play.,,
,CID_215_Athena_Commando_M_FootballReferee,41,Striped Soldier,Call it like you see it.,,
,CID_216_Athena_Commando_F_Medic,31,Field Surgeon,Scalpel!,,
,CID_217_Athena_Commando_M_Medic,31,Triage Trooper,No one is beyond saving.,,
,CID_218_Athena_Commando_M_GreenBeret,36,Garrison,Hold down the fort.,,
,CID_219_Athena_Commando_M_Hacivat,33,Hacivat,From lore to legend.,,
,CID_220_Athena_Commando_F_Clown,31,Peekaboo,I see you!,,
,CID_221_Athena_Commando_M_Clown,31,Nite Nite,Sleep tight!,,
,CID_222_Athena_Commando_F_DarkViking,36,Valkyrie,A chilling revelation.,,
,CID_223_Athena_Commando_M_Dieselpunk,36,Maximilian,Pilot your way to victory.,,
,CID_224_Athena_Commando_F_Dieselpunk,36,Airheart,Setting records flying solo.,,
,CID_225_Athena_Commando_M_Octoberfest,37,Ludwig,Best of the wurst.,,
,CID_226_Athena_Commando_F_Octoberfest,37,Heidi,Fest with the best.,,
,CID_227_Athena_Commando_F_Vampire,33,Dusk,Creatures of the nite pack a dangerous bite.,,
,CID_228_Athena_Commando_M_Vampire,33,Sanctum,Bestill your beating heart.,,
,CID_229_Athena_Commando_F_DarkBomber,36,Dark Bomber,The future looks dark.,,
,CID_230_Athena_Commando_M_Werewolf,34,Dire,Leader of the pack.,,
,CID_231_Athena_Commando_F_RedRiding,35,Fable,The forest isn't safe... from her.,,
,CID_232_Athena_Commando_F_HalloweenTomato,41,Nightshade,Protector of the sauce.,,
,CID_233_Athena_Commando_M_FortniteDJ,36,DJ Yonder,Packing a playlist for the perfect party.,,
,CID_234_Athena_Commando_M_LlamaRider,36,Giddy-up,Yee-haw!,,
,CID_235_Athena_Commando_M_Scarecrow,35,Hay Man,Scare. Those. Crows.,,
,CID_236_Athena_Commando_F_Scarecrow,35,Straw Ops,The harvest grows near.,,
,CID_237_Athena_Commando_F_Cowgirl,33,Calamity,From ranch hand to righteous retribution.,,
,CID_238_Athena_Commando_F_FootballGirlD,39,Juke,Leave them in your dust.,,
,CID_239_Athena_Commando_M_FootballDudeD,39,Strong Guard,Protect the blind side.,,
,CID_240_Athena_Commando_F_Plague,32,Scourge,Seeking the cure.,,
,CID_241_Athena_Commando_M_Plague,32,Plague,The doctor is in...,,
,CID_242_Athena_Commando_F_Bullseye,34,Bullseye,I never miss.,,
,CID_243_Athena_Commando_M_PumpkinSlice,38,Hollowhead,All tricks. No treats.,,
,CID_244_Athena_Commando_M_PumpkinSuit,37,Jack Gourdon,Squash the competition.,,
,CID_245_Athena_Commando_F_DurrburgerPjs,39,Onesie,Smash that snooze button.,,
,CID_246_Athena_Commando_F_Grave,31,Skull Ranger,She's got a bone to pick.,,
,CID_247_Athena_Commando_M_GuanYu,32,Guan Yu,Loyalty and bravery at all times.,,
,CID_248_Athena_Commando_M_BlackWidow,36,Spider Knight,They'll fall into your web.,,
,CID_249_Athena_Commando_F_BlackWidow,36,Arachne,Weave a web to victory.,,
,CID_250_Athena_Commando_M_EvilCowboy,36,Deadfire,"This town ain't big enough...
Reactive: Transforms by dealing damage, or by outliving other players.",,
,CID_251_Athena_Commando_F_Muertos,33,Rosa,"Celebrate the unknown.
Reactive: Glows in the dark",,
,CID_252_Athena_Commando_M_Muertos,33,Dante,"Back for more.
Reactive: Glows in the dark",,
,CID_253_Athena_Commando_M_MilitaryFashion2,42,Summit Striker,Always first to the top.,,
,CID_254_Athena_Commando_M_Zombie,32,Brainiac,Victory takes braaaains.,,
,CID_255_Athena_Commando_F_HalloweenBunny,40,Bunnymoon,Who are you supposed to be again?,,
,CID_256_Athena_Commando_M_Pumpkin,33,Patch Patroller,Self-appointed Grand Guardian of the Gourd.,,
,CID_257_Athena_Commando_M_SamuraiUltra,38,Shogun,Suited for the ultimate showdown.,,
,CID_258_Athena_Commando_F_FuzzyBearHalloween,44,Spooky Team Leader,Find delight in fright.,,
,CID_259_Athena_Commando_M_StreetOps,35,Reflex,"Quick to react, first to retaliate.",,
,CID_260_Athena_Commando_F_StreetOps,35,Instinct,Victory comes naturally.,,
,CID_261_Athena_Commando_M_RaptorArcticCamo,42,Frostbite,Brave the cold.,,
,CID_262_Athena_Commando_M_MadCommander,38,Ruckus,Bring the bedlam.,,
,CID_263_Athena_Commando_F_MadCommander,38,Mayhem,Embrace the destruction.,,
,CID_264_Athena_Commando_M_AnimalJackets,39,Growler,This good boy is not afraid to bare his teeth.,,
,CID_265_Athena_Commando_F_AnimalJackets,39,Flapjackie,Loves pancakes almost as much as victory.,,
,CID_266_Athena_Commando_F_LlamaRider,36,Yee-Haw!,Giddy-up!,,
,CID_267_Athena_Commando_M_RobotRed,34,A.I.M.,Scanning area for targets...,,
,CID_268_Athena_Commando_M_RockerPunk,36,Riot,Defining the pre-post-punk-post-hardcore scene.,,
,CID_269_Athena_Commando_M_Wizard,32,Castor,The wandering warlock of Wailing Woods.,,
,CID_270_Athena_Commando_F_Witch,31,Elmira,She'll literally charm you.,,
,CID_271_Athena_Commando_F_SushiChef,35,Maki Master,Roll up your sleeves and get to work.,,
,CID_272_Athena_Commando_M_HornedMask,36,Taro,Protector of the wilds.,,
,CID_273_Athena_Commando_F_HornedMask,36,Nara,Messenger of the spirits.,,
,CID_274_Athena_Commando_M_Feathers,34,Tender Defender,Protect your nuggets.,,
,CID_275_Athena_Commando_M_SniperHood,36,Longshot,No target is out of range.,,
,CID_276_Athena_Commando_F_SniperHood,36,Insight,Target in sight.,,
,CID_277_Athena_Commando_M_Moth,30,Mothmando,"Out of the shadows, and into the light.",,
,CID_278_Athena_Commando_M_Yeti,30,Trog,Trog fight good!,,
,CID_279_Athena_Commando_M_TacticalSanta,39,Sgt. Winter,You don't want to be on his list.,,
,CID_280_Athena_Commando_M_Snowman,33,Slushy Soldier,Make every day a snow day.,,
,CID_281_Athena_Commando_F_SnowBoard,35,Powder,Catch the air and kiss the sky.,,
,CID_286_Athena_Commando_F_NeonCat,33,Lynx,Who needs nine lives when one is enough?,,
,CID_287_Athena_Commando_M_ArcticSniper,38,Zenith,Peak performance at any elevation.,,
,CID_288_Athena_Commando_M_IceKing,33,The Ice King,All hail the ruler of ice and snow.,,
,CID_290_Athena_Commando_F_BlueBadass,36,Waypoint,Make your move.,,
,CID_291_Athena_Commando_M_Dieselpunk02,38,Cloudbreaker,Turbulent by nature.,,
,CID_292_Athena_Commando_F_Dieselpunk02,38,Wingtip,Flying on the edge.,,
,CID_293_Athena_Commando_M_RavenWinter,37,Frozen Raven,Brooding master of frozen feathers.,,
,CID_294_Athena_Commando_F_RedKnightWinter,41,Frozen Red Knight,Frozen menace of icy tundra.,,
,CID_295_Athena_Commando_M_CupidWinter,37,Frozen Love Ranger,Aim for the cold-hearted.,,
,CID_296_Athena_Commando_M_Math,30,Prodigy,Never afraid to divide by zero.,,
,CID_297_Athena_Commando_F_Math,30,Maven,Victory is the common denominator.,,
,CID_298_Athena_Commando_F_IceMaiden,35,Glimmer,Elegantly reclaiming winter's crown.,,
,CID_299_Athena_Commando_M_SnowNinja,35,Snowfoot,"Tread lightly, and never leave a trace.",,
,CID_300_Athena_Commando_F_Angel,31,Ark,Upholding the principles of righteous victory.,,
,CID_301_Athena_Commando_M_Rhino,31,Beastmode,Gassed up and ready to roar.,,
,CID_302_Athena_Commando_F_Nutcracker,36,Crackabella,She's a hard nut to crack.,,
,CID_303_Athena_Commando_F_SnowFairy,35,Sugarplum,As sugary sweet as winter berries.,,
,CID_304_Athena_Commando_M_Gnome,31,Grimbles,This garden gnome is at home on the roam in a snowy biome.,,
,CID_308_Athena_Commando_F_FortniteDJ,36,DJ Bop,Lose yourself in the beat.,,
,CID_309_Athena_Commando_M_StreetGoth,36,Paradox,Strike the impossible balance.,,
,CID_310_Athena_Commando_F_StreetGoth,36,Lace,Lives for the thrill of the frill.,,
,CID_311_Athena_Commando_M_Reindeer,34,Red-nosed Ranger,Known for his antler antics.,,
,CID_312_Athena_Commando_F_FunkOps,33,Disco Diva,Make way for the queen of the dance floor.,,
,CID_313_Athena_Commando_M_KpopFashion,37,IKONIK,Define the moment.,,
,CID_314_Athena_Commando_M_Krampus,33,Krampus,Here comes anti-claus...,,
,CID_315_Athena_Commando_M_TeriyakiFish,38,Fishstick,Keep far away from Maki Master.,,
,CID_316_Athena_Commando_F_WinterHoliday,39,Tinseltoes,Keep the competition on their toes.,,
,CID_317_Athena_Commando_M_WinterGhoul,37,Cloaked Shadow,Cast an ominous shadow.,,
,CID_318_Athena_Commando_M_Demon,31,Malcore,Malevolent to the core.,,
,CID_319_Athena_Commando_F_Nautilus,34,Deep Sea Dominator,In a completely different league.,,
,CID_320_Athena_Commando_M_Nautilus,34,Deep Sea Destroyer,Straight out of the trenches.,,
,CID_321_Athena_Commando_M_MilitaryFashion1,42,Verge,Always on the forefront.,,
,CID_322_Athena_Commando_M_TechOps,33,Tech Ops,Overtake the battlefield.,,
,CID_323_Athena_Commando_M_Barbarian,35,Jaeger,Leading the hunt.,,
,CID_324_Athena_Commando_F_Barbarian,35,Fyra,Lives for the chase.,,
